[2024-05-15T05:17:49.130Z] info: jwt expired || undefined undefined
[2024-05-15T05:23:01.411Z] info: No estas logueado! Por favor inicia sesión para obtener acceso. || undefined undefined
[2024-05-15T05:23:07.442Z] info: Curso no encontrado! || undefined undefined
[2024-05-15T05:23:15.090Z] info: Sección de curso no encontrada! || undefined undefined
[2024-05-15T05:23:17.908Z] info: Curso no encontrado! || undefined undefined
[2024-05-15T05:26:22.705Z] info: Can't find /api/v1/cursos/secciones/1 on this server! || undefined undefined
[2024-05-15T05:27:26.859Z] info: Cannot add or update a child row: a foreign key constraint fails (`genesis`.`seccioncursos`, CONSTRAINT `seccioncursos_ibfk_1` FOREIGN KEY (`curso_id`) REFERENCES `cursos` (`curso_id`) ON DELETE CASCADE ON UPDATE CASCADE) || undefined undefined
[2024-05-15T05:28:08.014Z] info: Curso no encontrado! || undefined undefined
[2024-05-15T05:28:38.225Z] info: Curso no encontrado! || undefined undefined
[2024-05-15T05:29:03.522Z] info: Curso no encontrado! || undefined undefined
[2024-05-15T05:29:22.144Z] info: Sección de curso no encontrada! || undefined undefined
[2024-05-15T05:30:38.369Z] info: Sección de curso no encontrada! || undefined undefined
[2024-05-15T05:33:29.207Z] info: Curso no encontrado! || undefined undefined
[2024-05-15T05:34:13.365Z] info: Lección de sección no encontrada! || undefined undefined
[2024-05-15T05:35:49.707Z] info: Lección de sección no encontrada! || undefined undefined
